Reference Pool ID|Loan Identifier|Monthly Reporting Period|Channel|Seller Name|Servicer Name|Master Servicer|Original Interest Rate|Current Interest Rate|Original UPB|UPB at Issuance|Current Actual UPB|Original Loan Term|Origination Date|First Payment Date|Loan Age|Remaining Months to Legal Maturity|Remaining Months To Maturity|Maturity Date|Original Loan to Value Ratio (LTV)|Original Combined Loan to Value Ratio (CLTV)|Number of Borrowers|Debt-To-Income (DTI)|Borrower Credit Score at Origination|Co-Borrower Credit Score at Origination|First Time Home Buyer Indicator|Loan Purpose |Property Type|Number of Units|Occupancy Status|Property State|Metropolitan Statistical Area (MSA)|Zip Code Short|Mortgage Insurance Percentage|Amortization Type|Prepayment Penalty Indicator|Interest Only Loan Indicator|Interest Only First Principal And Interest Payment Date|Months to Amortization|Current Loan Delinquency Status|Loan Payment History|Modification Flag|Mortgage Insurance Cancellation Indicator|Zero Balance Code|Zero Balance Effective Date|UPB at the Time of Removal|Repurchase Date|Scheduled Principal Current|Total Principal Current|Unscheduled Principal Current|Last Paid Installment Date|Foreclosure Date|Disposition Date|Foreclosure Costs|Property Preservation and Repair Costs|Asset Recovery Costs|Miscellaneous Holding Expenses and Credits|Associated Taxes for Holding Property|Net Sales Proceeds|Credit Enhancement Proceeds|Repurchase Make Whole Proceeds|Other Foreclosure Proceeds|Modification-Related Non-Interest Bearing UPB|Principal Forgiveness Amount|Original List Start Date|Original List Price|Current List Start Date|Current List Price|Borrower Credit Score At Issuance|Co-Borrower Credit Score At Issuance|Borrower Credit Score Current |Co-Borrower Credit Score Current|Mortgage Insurance Type|Servicing Activity Indicator|Current Period Modification Loss Amount|Cumulative Modification Loss Amount|Current Period Credit Event Net Gain or Loss|Cumulative Credit Event Net Gain or Loss|HomeReady� Program Indicator|Foreclosure Principal Write-off Amount|Relocation Mortgage Indicator|Zero Balance Code Change Date|Loan Holdback Indicator|Loan Holdback Effective Date|Delinquent Accrued Interest|Property Valuation Method |High Balance Loan Indicator |ARM Initial Fixed-Rate Period  ? 5 YR Indicator|ARM Product Type|Initial Fixed-Rate Period |Interest Rate Adjustment Frequency|Next Interest Rate Adjustment Date|Next Payment Change Date|Index|ARM Cap Structure|Initial Interest Rate Cap Up Percent|Periodic Interest Rate Cap Up Percent|Lifetime Interest Rate Cap Up Percent|Mortgage Margin|ARM Balloon Indicator|ARM Plan Number|Borrower Assistance Plan|High Loan to Value (HLTV) Refinance Option Indicator|Deal Name|Repurchase Make Whole Proceeds Flag|Alternative Delinquency Resolution|Alternative Delinquency  Resolution Count|Total Deferral Amount|Payment Deferral Modification Event Indicator|Interest Bearing UPB
5114|92501844|102023|R|Finance of America Mortgage LLC||FANNIE MAE|4.750||238000.00|236000.00|0.00|360|102018|122018|||||95|95|2|38|699|691|Y|P|PU|1|P|CO|19740|800|16.00|FRM|N|N||||||N|01|032020|232776.88||0.00|0.00|0.00|||||||||||||||||||772|726|||1|||0.00||0.00|H||N|032020||||A|N|||||||||||||||7|N|CAS 2019 R04 G2|N|7|||7|
5114|92501845|102023|R|JPMorgan Chase Bank, National Association||FANNIE MAE|4.750||225000.00|221732.41|0.00|360|062018|082018|||||90|90|2|32|806|753|Y|P|SF|1|P|OH|18140|430|25.00|FRM|N|N||||||N|01|122020|215343.60||0.00|0.00|0.00|||||||||||||||||||806|794|||1|||0.00||0.00|7||N|122020||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2|N|7|||7|
5114|92501847|102023|C|United Wholesale Mortgage, LLC||FANNIE MAE|4.750||123000.00|122305.18|0.00|360|082018|102018|||||95|95|2|24|779|814|Y|P|CO|1|P|NJ|37980|080|30.00|FRM|N|N||||||N|01|042022|116325.83||0.00|0.00|0.00|||||||||||||||||||731|811|||1|||0.00||0.00|7||N|042022||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2|N|7|||7|
5114|92501848|102023|C|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|5.250|5.250|391000.00|388139.35|370853.41|360|082018|102018|61|299|299|092048|95|95|1|42|771||Y|P|SF|1|P|NY|35620|105|30.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N|||||584.86|584.86|0.00||||||||||||||0.00|||||756||792||1|N||0.00||0.00|7|0.00|N|||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2||C|1|11102.58|7|370853.41
5114|92501849|102023|C|Other|Other|FANNIE MAE|5.125|5.125|142000.00|141000.00|130836.41|360|092018|112018|60|300|301|102048|95|95|2|38|824|717|Y|P|SF|2|P|MA|38340|012|16.00|FRM|N|N|||01|000000000001000101000000000000000101010000000101|N|N|||||213.62|213.62|0.00|||||||||||||||||||807|722|692|552|1|N||0.00||0.00|F||N|||||A|N|||||||||||||N||N|N|CAS 2019 R04 G2||7|||7|130836.41
5114|92501850|102023|R|Guaranteed Rate, Inc.||FANNIE MAE|4.750||296000.00|293758.42|0.00|360|082018|102018|||||95|95|1|49|713||N|R|SF|1|P|NE|36540|680|30.00|FRM|N|N||||||N|01|052021|284126.37||0.00|0.00|0.00|||||||||||||||||||723||||1|||0.00||0.00|7||N|052021||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2|N|7|||7|
5114|92501851|102023|C|Wells Fargo Bank, N.A.||FANNIE MAE|5.000||182000.00|180000.00|0.00|360|092018|112018|||||82|82|2|50|813|807|N|P|SF|1|P|TN|28700|376|12.00|FRM|N|N||||||N|01|072020|177250.11||0.00|0.00|0.00|||||||||||||||||||802|795|||1|||0.00||0.00|7||N|072020||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2|N|7|||7|
5114|92501852|102023|C|Wells Fargo Bank, N.A.|Wells Fargo Bank, N.A.|FANNIE MAE|5.375|5.375|418000.00|414676.89|385227.67|360|082018|102018|61|299|299|092048|95|95|1|47|780||Y|P|PU|1|P|CA|41740|921|30.00|FRM|N|N|||00|000000000000000000000000010000000000000000000000|N|N|||||612.44|612.44|0.00|||||||||||||||||||676||667||2|N||0.00||0.00|7||N|||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2||7|||7|385227.67
5114|92501853|102023|C|Wells Fargo Bank, N.A.||FANNIE MAE|5.500||165000.00|164000.00|0.00|360|092018|112018|||||97|97|1|37|636||N|P|SF|1|P|SC|24860|296|25.00|FRM|N|N||||||N|01|082020|161470.82||0.00|0.00|0.00|||||||||||||||||||643||||2|||0.00||0.00|H||N|082020||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2|N|7|||7|
5114|92501854|102023|R|Movement Mortgage, LLC||FANNIE MAE|5.125||236000.00|234000.00|0.00|360|092018|112018|||||90|90|2|47|680|689|N|P|SF|1|P|WA|38900|986|25.00|FRM|N|N||||||N|01|112020|228819.11||0.00|0.00|0.00|||||||||||||||||||689|691|||1|||0.00||0.00|H||N|112020||||A|N|||||||||||||N||7|N|CAS 2019 R04 G2|N|7|||7|
